Result,Tweet
positive,@DanClarkSports We #Orioles fans are spoiled by how good our bullpen is.
positive,RT @Orioles: #CapsOn with the Iron Man. #OpeningDay #Birdland #OPACY25 https://t.co/1pF2iDZKdU
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,RT @Orioles: RECAP: @Mtrumbo44’s #walkoff homer in the 11th seals #OsOpener win! https://t.co/5Z2S9l6jjH https://t.co/XsdptxI1br
positive,"RT @Sportsnet: The #BlueJays' 2017 journey began with an extra innings loss to Orioles. @ShiDavidi with more.

https://t.co/6xrmu0AlwZ http…"
positive,RT @Orioles: Walk-off?! Quick! Grab the coolers! #Birdland https://t.co/c0ZtaOpacE
negative,Machado is literally the loml 😍😩 https://t.co/ptuWUOA0ph
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @Ravens: We back the birds. 

Let's go, @Orioles! https://t.co/4barq7XnhR"
positive,A great Monday night edition of the show 10-12 @1057TheFan #Orioles opening day #NCAATournament tournament ends plus much much more!!!
positive,RT @Orioles: RECAP: @Mtrumbo44’s #walkoff homer in the 11th seals #OsOpener win! https://t.co/5Z2S9l6jjH https://t.co/XsdptxI1br
positive,"RT @BasebaIlKing: Mark trumbo hits the first walkoff homerun of the 2017 season 😳🔥

 https://t.co/PPEqlpeviz"
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,RT @iLetsPlayBall: Machado from his knees 🔥🔥🔥 https://t.co/Plx9Ew0MBl
positive,RT @Orioles: RECAP: @Mtrumbo44’s #walkoff homer in the 11th seals #OsOpener win! https://t.co/5Z2S9l6jjH https://t.co/XsdptxI1br
positive,"RT @Orioles: #Orioles Magic. 
The Orioles have now won 7 consecutive #OpeningDay matchups. #Birdland https://t.co/OVeath1paR"
positive,"RT @Ravens: We back the birds. 

Let's go, @Orioles! https://t.co/4barq7XnhR"
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @mtamaryland: On Opening Day, thousands of Baltimore Orioles fans took MTA Light Rail to get to the game. https://t.co/sMFGdUcja6 @MDOTN…"
negative,"""He did it with glove!""- Joe Angel, Orioles' broadcaster. #OpeningDay ⚾️🇺🇸 https://t.co/UW1uf72J6x"
positive,"Love this quote, love Buck &amp; our @Orioles...what an amazing Opening Day!! #TrumboJumbo #OriolesMagic2017 https://t.co/21jKe6JsXK"
