Result,Tweet
negative,@Jezebel But.... Did she give him a Pepsi tho?
positive,@Jezebel Bruce Jenner is 67. How pathetic to deal with identity crisis at that age
positive,@Jezebel Wow so I'm taking a stand by not keeping up with the kardashians?
positive,@Jezebel Such a hero and an inspiration
negative,"@Jezebel STUNNING AND BRAVE 👏
T
U
N
N
I
N
G
A
N
D
B
R
A
V
E
👏"
negative,@Jezebel he still has a penis.... he is a man
negative,"@Jezebel A few months ago ""I wanna talk to Donald to explain trans and LGBT rights to him""

Now: ""Nah I don't wanna wahhhh"""
positive,@Jezebel Omg fuck you #caitlinjenner. You got exactly what you voted for -- you just thought it wouldn't apply to you. DIAF.
negative,@Jezebel Fucking freak
negative,@Jezebel didn't she vote for him tho? https://t.co/FS1OoU0K9T
negative,@Jezebel Oh hell Nah! https://t.co/5Xs9UgW1g7
negative,"@Jezebel Votes for him, doesn't care how racist&amp;sexist he is, realizes he's transphobic, then doesn't like him. but… https://t.co/O1qFMvgRrM"
negative,@Jezebel But.... Did she give him a Pepsi tho?
positive,@Jezebel Bruce Jenner is 67. How pathetic to deal with identity crisis at that age
positive,@Jezebel Wow so I'm taking a stand by not keeping up with the kardashians?
positive,@Jezebel Such a hero and an inspiration
negative,"@Jezebel STUNNING AND BRAVE 👏
T
U
N
N
I
N
G
A
N
D
B
R
A
V
E
👏"
negative,@Jezebel he still has a penis.... he is a man
negative,"@Jezebel A few months ago ""I wanna talk to Donald to explain trans and LGBT rights to him""

Now: ""Nah I don't wanna wahhhh"""
positive,@Jezebel Omg fuck you #caitlinjenner. You got exactly what you voted for -- you just thought it wouldn't apply to you. DIAF.
negative,@Jezebel Fucking freak
negative,@Jezebel didn't she vote for him tho? https://t.co/FS1OoU0K9T
negative,@Jezebel Oh hell Nah! https://t.co/5Xs9UgW1g7
negative,"@Jezebel Votes for him, doesn't care how racist&amp;sexist he is, realizes he's transphobic, then doesn't like him. but… https://t.co/O1qFMvgRrM"
positive,@Jezebel Kartrashian fansite @Jezebel finally shades Caitlyn + the K-fangurl commenters do backflips to defend that… https://t.co/ZBKlwqx5iH
negative,@Jezebel Lmfaoooo
negative,@Jezebel Nobel prize!!! Such bravery! A true American hero 👏🏿👏🏿👏🏿👏🏿
negative,@Jezebel Wow that manwoman is a hero
positive,@Jezebel wow what an inspiration to the lgbt community... i hope i can be this brave someday... her actions may ins… https://t.co/k4ZhA5mmvi
negative,@Jezebel Proud of you.
positive,@Jezebel this is the way to be an activist smh
negative,"@Jezebel omg 👏👏👏👏 i'm so proud of her, this must have been fucking hard for her 😭😭 those people marching and fighting against him ain't shit"
positive,@Jezebel Wow queen of activism. When will Kendall ever?
positive,@Jezebel Wow!!! She is just so brave. I honestly have one word.ICONIC. Her activism is refreshing and we could all… https://t.co/lpYi7vRoMT
negative,@Jezebel well she's the man!!!.....wait🤔
negative,"@Jezebel Well I've never ever turned down an offer so superfluos holy shit theres a spider on my aarm
help"
negative,@Jezebel Not good enough
negative,@Jezebel Remember that time when MLK fought for civil rights by turning down a lovely brunch?
positive,@Jezebel @claydle it makes me so happy to see such brave women in this world
positive,@Jezebel He didn't have the balls to go
negative,@Jezebel Learn #GirlBye. That's to all who excused his crap before 11.8.16 and all the sudden find him repulsive.
negative,@Jezebel that Pepsi must have been a 2 liter....
negative,@Jezebel Play golf.  That is hilarious.
negative,@Jezebel You can't possibly look any more plastic that this person.
positive,@Jezebel He didn't accept trumps invite. How is that a stand? He's(jenner) getting crazy lol
positive,@Jezebel oh yes that's the one
positive,"@Jezebel She said she took a stand by NOT playing golf.
The struggle is real. https://t.co/twAJ8ozyiW"
negative,"@Jezebel. He can wear a dress get boobs put on grow his hair change his name. Can't change his DNA. ""MAN"""
positive,@Jezebel The most unwoke trans person ive ever seen.  So it took until the reversal of Title IX to almost get a clue.
negative,@Jezebel Perhaps a can of Pepsi would change that.
negative,@Jezebel GO BACK TO THE HETERO WORLD WERE YOU BELONG!
negative,@Jezebel That's not enough. Start taking responsibility for your choices and teach your girls to do the same. Then......maybe.......😐
positive,"@Jezebel Is this a joke? So backwards. Get rid of your pride issues, Caitlyn &amp; vote for who actually supports your… https://t.co/wRKbO2NUeL"
negative,"@Jezebel As she turned and yelled ""Give me Free!!"""
positive,@Jezebel How is that taking a stand? A stand for what? A stand not to play golf. Wowzaa!!! Hold him back!!
negative,@Jezebel So brave.
negative,"@Jezebel Because Donald Trump refused to ""TRUMP"" her"
negative,@Jezebel Doesn't he support Donald Trump?
negative,@Jezebel this dude has that damn wig on to tight brave my ass
positive,@Jezebel Wow 😍😍 Must've been SO hard to do that. Queen of saying no to Donald Trump 😍😍 Trump's board of all whites is shook 😍😍
negative,@Jezebel Wow give her an award https://t.co/LhvpRREU4m
negative,@Jezebel Cait is all about Cait.
negative,@Jezebel How the fuck is this anything worth mentioning
negative,@Jezebel That was so brave??? 🤔
negative,@Jezebel Who gives a shit. Wouldn't wanna play with someone who has their dick turned inside out anyway.
negative,"@Jezebel Oh, my goodness I guess we can stop vying for rights now"
negative,@Jezebel when do I get to watch this in its entirety? (Or did I miss the interview😫)
negative,@Jezebel Well duh Golf is for guys only. It had its chance but nope.
negative,@Jezebel But Ladies' Day is Tuesday...
negative,@Jezebel @Caitlyn_Jenner wow so brave. Your privileged ass doesn't belong among anyone who has fought hard for respect.
negative,"@Jezebel Wow. This act was just at ""bold"" as Kendall wearing braids (cornrows) that one time... 🙃🙄"
negative,@Jezebel Oh wow really?? https://t.co/LPpz4zmSoE
